species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,average_body_mass_x,average_flipper_length_x,average_body_mass_y,average_flipper_length_y,body_mass_standardized
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.3147380006002365
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3197203774186939
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1903607977025437
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1281721962536972
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.097077895529274
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.07096597162330831
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3197203774186939
Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1281721962536972
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.5509200428651557
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.3147380006002365
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.376926602049083
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.23997703562092373
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.5013038049467757
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.48873144141630936
Adelie,Dream,41.1,19.0,182.0,3425.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.9727006926315812
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.07096597162330831
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8794177904583116
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.1155998327232309
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.1953431745210011
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.6256810078444686
Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.687869609293315
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5684747832140795
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.3147380006002365
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.23997703562092373
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.7550405875606188
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.1953431745210011
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.687869609293315
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3197203774186939
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0659835948048508
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.13315457307215472
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.4391152034979293
Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.3021656370697701
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.7550405875606188
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.07096597162330831
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.053411231274384505
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.25753177596984755
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.25254939915139
Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.6131086443140021
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.008777370174461903
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0659835948048508
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8794177904583116
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3197203774186939
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.7550405875606188
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.1155998327232309
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0037949933560044
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.3021656370697701
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1281721962536972
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.1155998327232309
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.17778843417207732
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.6256810078444686
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.13315457307215472
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5995690839385027
Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.6442029450384253
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.408020902773506
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.053411231274384505
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.5945867071200452
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5684747832140795
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.2836436998758132
Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.7063915464872718
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.47519188104080995
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.48873144141630936
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.25254939915139
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.08450553199880771
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.16424887379657793
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.6256810078444686
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5373804824896563
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0659835948048508
Adelie,Torgersen,41.1,18.6,189.0,3325.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.097077895529274
Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.3147380006002365
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8794177904583116
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.41300327959196353
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.4391152034979293
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.25753177596984755
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1592664969781203
Adelie,Torgersen,41.5,18.3,195.0,4300.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.1155998327232309
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.4391152034979293
Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.25753177596984755
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.097077895529274
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8794177904583116
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8794177904583116
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.33325993779419333
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.9727006926315812
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3819089788675403
Adelie,Dream,35.6,17.5,191.0,3175.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.2836436998758132
Adelie,Dream,40.2,20.1,200.0,3975.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.2886260766942707
Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0037949933560044
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.053411231274384505
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0037949933560044
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.9105120911827348
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.4391152034979293
Adelie,Dream,40.7,17.0,190.0,3725.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5995690839385027
Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.5013038049467757
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6928519861117723
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.053411231274384505
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.9105120911827348
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Dream,37.8,18.1,193.0,3750.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5684747832140795
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.25753177596984755
Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.8794177904583116
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.3819089788675403
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.6928519861117723
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.8483234897338884
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5995690839385027
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.3197203774186939
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.1903607977025437
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5684747832140795
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.07096597162330831
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.6306633846629259
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5062861817652331
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5373804824896563
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.6306633846629259
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.1953431745210011
Chinstrap,Dream,45.9,17.1,190.0,3575.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.786134888285042
Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.1953431745210011
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.1281721962536972
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.6306633846629259
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.941606391907158
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,0.23997703562092373
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.7550405875606188
Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.0037949933560044
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.6256810078444686
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5062861817652331
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.1281721962536972
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.07096597162330831
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.0037949933560044
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.5062861817652331
Chinstrap,Dream,46.4,17.8,191.0,3700.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.6306633846629259
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,0.42654283996746295
Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.25254939915139
Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,0.1155998327232309
Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-1.0659835948048508
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.13315457307215472
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE,3733.0882352941176,195.8235294117647,3733.0882352941176,195.8235294117647,-0.7550405875606188
